label,precision,recall,f1,support
read_file,0.5320715036803365,0.55119825708061,0.541466024612092,1836
grep_search,0.6883033419023136,0.534965034965035,0.6020236087689713,2002
list_directory,0.3758043758043758,0.6561797752808989,0.4779050736497545,890
glob_pattern,0.754813863928113,0.5552407932011332,0.6398258977149075,1059
edit_file,0.9365704286964129,0.9345264076822348,0.9355473017260214,2291
write_file,0.9822695035460993,0.9964028776978417,0.9892857142857143,278
apply_patch,0.8588235294117647,0.8647581441263573,0.8617806197737334,1013
run_bash,0.7915717539863326,0.7113613101330604,0.7493261455525606,977
run_tests,0.6312949640287769,0.7714285714285715,0.6943620178041543,910
lint_or_typecheck,0.6082725060827251,0.499001996007984,0.5482456140350878,501
ask_user,0.6060037523452158,0.5778175313059034,0.5915750915750916,559
plan_task,0.6274038461538461,0.5067961165048543,0.560687432867884,515
web_search,0.42857142857142855,0.5824175824175825,0.4937888198757764,273
respond_only,0.9960238568588469,1.0,0.99800796812749,1002
