label,precision,recall,f1,support
read_file,0.5258755880815473,0.5479302832244008,0.5366764470525474,1836
grep_search,0.683125,0.545954045954046,0.6068850638534148,2002
list_directory,0.380039656311963,0.6460674157303371,0.47856845609654597,890
glob_pattern,0.7615894039735099,0.5429650613786591,0.6339581036383682,1059
edit_file,0.9308855291576674,0.9406372762985595,0.93573599652627,2291
write_file,0.9787985865724381,0.9964028776978417,0.9875222816399287,278
apply_patch,0.8725985844287159,0.8519249753208292,0.8621378621378621,1013
run_bash,0.7765607886089814,0.7256908904810645,0.7502645502645503,977
run_tests,0.646125116713352,0.7604395604395604,0.6986370519939424,910
lint_or_typecheck,0.5980861244019139,0.499001996007984,0.544069640914037,501
ask_user,0.6161825726141079,0.5313059033989267,0.5706051873198847,559
plan_task,0.5722326454033771,0.5922330097087378,0.5820610687022901,515
web_search,0.4371069182389937,0.5091575091575091,0.4703891708967851,273
respond_only,0.9990029910269193,1.0,0.9995012468827931,1002
